gene,value
AUNIP,610
AUP1,24260
AURKA,3440
AURKAIP1,13793
AURKB,4889
AURKC,320
AUTS2,11998
AVEN,1907
AVIL,985
AVL9,8916
AVP,12
AVPI1,2003
AVPR1A,675
AVPR1B,15
AVPR2,171
AWAT1,0
AWAT2,2
AXDND1,102
AXIN1,9379
AXIN2,977
AXL,5194
AZGP1,68
AZI2,6937
AZIN1,21142
AZIN2,924
AZU1,45
B2M,695486
B3GALNT1,1929
B3GALNT2,6986
B3GALT1,26
B3GALT2,225
B3GALT4,3533
B3GALT5,2682
B3GALT6,5362
B3GALT9,1380
B3GAT1,447
B3GAT2,27
B3GAT3,6989
B3GLCT,2383
B3GNT2,6020
B3GNT3,4623
B3GNT4,451
B3GNT5,6840
B3GNT6,93
B3GNT7,1129
B3GNT8,3568
B3GNT9,1889
B3GNTL1,1316
B4GALNT1,373
B4GALNT2,74
B4GALNT3,2580
B4GALNT4,1805
B4GALT1,42382
B4GALT2,7471
B4GALT3,7953
B4GALT4,6080
B4GALT5,18228
B4GALT6,1216
B4GALT7,6064
B4GAT1,1689
B9D1,1680
B9D2,1164
BAALC,277
BAAT,50
BABAM1,3184
BABAM2,3375
BACE1,3829
BACE2,8685
BACH1,9512
BACH2,1774
BAD,7088
BAG1,15429
BAG2,669
BAG3,18644
BAG4,5191
BAG5,11602
BAG6,47040
BAHCC1,4212
BAHD1,10998
BAIAP2,22551
BAIAP2L1,8738
BAIAP2L2,452
BAIAP3,1567
BAK1,8521
BAMBI,770
BANF1,14635
BANF2,4
BANK1,8911
BANP,3022
BAP1,21373
BARD1,2352
BARHL1,2
BARHL2,0
BARX1,416
BARX2,7990
BASP1,10812
BATF,4045
BATF2,4152
BATF3,880
BAX,13765
BAZ1A,16010
BAZ1B,19911
BAZ2A,35983
BAZ2B,8739
BBC3,3047
BBIP1,2060
BBLN,10349
BBOF1,1020
BBOX1,1150
BBS1,266
BBS10,2979
BBS12,830
BBS2,4366
BBS4,3461
BBS5,1462
BBS7,1789
BBS9,2116
BBX,8847
BCAM,11686
BCAN,23
BCAP29,153
BCAP31,26892
BCAR1,8133
BCAR3,2391
BCAS1,1975
BCAS2,6479
BCAS3,6091
BCAS4,1620
BCAT1,2148
BCAT2,9756
BCCIP,8263
BCDIN3D,1738
BCHE,49
BCKDHA,127
BCKDHB,2284
BCKDK,8027
BCL10,5268
BCL11A,6172
BCL11B,9256
BCL2,13806
BCL2A1,3191
BCL2L1,21911
BCL2L10,113
BCL2L11,9731
BCL2L12,6751
BCL2L13,8968
BCL2L14,1044
BCL2L15,562
BCL2L2,9872
BCL2L2-PABPN1,89
BCL3,34945
BCL6,14508
BCL6B,1801
BCL7A,3164
BCL7B,8594
BCL7C,6954
BCL9,5032
BCL9L,22874
BCLAF1,21596
BCLAF3,2543
BCO1,333
BCO2,264
BCOR,11359
BCORL1,2154
BCR,17824
BCS1L,4287
BDH1,7150
BDH2,2694
BDKRB1,136
BDKRB2,2566
BDNF,302
BDP1,9501
BEAN1,211
BECN1,15050
BECN2,1
BEGAIN,222
BEND2,1
BEND3,993
BEND4,265
BEND5,658
BEND6,161
BEND7,268
BEST1,458
BEST2,10626
BEST3,2
BEST4,134
BET1,2782
BET1L,12095
BEX1,75
BEX2,1916
BEX3,5572
BEX4,2467
BEX5,344
BFAR,6802
BFSP1,473
BFSP2,131
BGLAP,49
BGN,18006
BHLHA15,3035
BHLHA9,4
BHLHB9,5
BHLHE22,532
BHLHE23,0
BHLHE40,73164
BHLHE41,4052
BHMT,22
BHMT2,451
BICC1,1236
BICD1,1664
BICD2,25500
BICDL1,10281
BICDL2,14975
BICRA,9262
BICRAL,5525
